posicion,tiempo_lineal,tiempo_binaria,tiempo_galopante
500000,1616300,146,448
550000,1586912,406,473
600000,1671706,303,483
650000,1849942,363,461
700000,1981870,377,459
750000,2139625,315,457
800000,2307151,402,476
850000,2464806,332,472
900000,2555627,410,438
950000,2772076,358,432
999999,2837404,291,336
0,105,441,48
50000,170630,475,391
100000,312904,401,378
150000,457153,330,373
200000,575543,334,344
250000,748134,296,383
300000,859173,377,443
350000,1016980,376,426
400000,1145014,407,444
450000,1270044,369,368
500000,1449533,300,413
550000,1603980,403,474
600000,1707851,404,473
650000,1874944,369,465
700000,2019885,365,460
750000,2174136,307,469
800000,2262522,348,471
850000,2492733,407,423
900000,2662207,372,433
950000,2702646,380,415
999999,2887196,263,356
0,89,378,52
50000,175407,396,416
100000,299606,350,344
150000,448666,315,353
200000,603355,392,361
250000,718374,294,379
300000,888112,365,445
350000,1015307,335,434
400000,1215834,396,399
450000,1287071,381,360
500000,1451575,288,432
550000,1584194,378,479
600000,1720896,397,462
650000,1880439,389,456
700000,2004456,347,465
750000,2135790,310,448
800000,2244648,366,457
850000,2412910,327,483
900000,2569003,390,475
950000,2687575,361,423
999999,2902808,271,344
0,82,350,48
50000,162791,347,356
100000,320920,330,321
150000,435874,390,392
200000,578676,324,352
250000,734065,299,352
300000,881234,393,428
350000,1022837,355,454
400000,1154930,373,405
450000,1312338,398,363
500000,1439667,336,441
550000,1556403,401,491
600000,1699978,378,469
650000,1885265,390,468
700000,1984187,370,484
750000,2157759,589,625
800000,2286674,377,458
850000,2406533,341,497
900000,2557990,391,445
950000,2701455,372,486
999999,2848138,272,338
0,87,337,43
50000,167815,460,389
100000,297442,331,319
150000,456782,321,340
200000,587259,397,566
250000,780436,285,451
300000,872879,369,439
350000,1013793,337,382
400000,1172664,347,384
450000,1303858,376,370
500000,1420233,271,433
550000,1565240,391,465
600000,1722994,392,479
650000,1843777,354,442
700000,2014057,396,466
750000,2129173,288,448
800000,2337216,573,453
850000,2411059,335,454
900000,2569459,360,485
950000,2728249,358,460
999999,2856455,275,378
0,92,414,48
50000,166366,445,459
100000,322397,361,380
150000,444871,372,398
200000,590870,354,373
250000,735400,268,363
300000,856893,370,446
350000,1027238,395,500
400000,1141552,379,396
450000,1350434,362,369
500000,1458966,318,453
550000,1560863,425,487
600000,1722223,381,468
650000,1884225,386,448
700000,2002254,340,475
750000,2098817,282,422
800000,2285472,394,473
850000,2468608,353,451
900000,2731901,391,486
950000,2712618,359,433
999999,2845871,278,337
0,72,331,42
50000,164902,373,368
100000,312221,323,359
150000,453612,339,365
200000,576637,389,392
250000,727424,329,419
300000,866817,397,502
350000,1031016,331,392
400000,1141368,371,407
450000,1275000,393,358
500000,1402055,286,466
550000,1564805,392,453
600000,1714555,344,450
650000,1872954,380,450
700000,2080770,421,489
750000,2132489,296,465
800000,2280626,368,414
850000,2415469,328,461
900000,2585627,414,465
950000,2713705,400,433
999999,2899240,253,333
0,82,404,41
50000,162618,342,353
100000,317169,410,386
150000,449117,432,448
200000,578241,332,352
250000,721933,337,421
300000,894370,416,433
350000,1007213,359,415
400000,1140183,391,409
450000,1310212,378,346
500000,1466188,300,430
550000,1595800,421,468
600000,1943068,623,793
650000,1852492,393,448
700000,2062290,362,479
750000,2264193,335,502
800000,2273681,358,459
850000,2465382,368,507
900000,2609647,450,464
950000,2693446,350,400
999999,2944795,299,335
0,79,314,41
50000,157885,350,344
100000,303905,313,315
150000,443570,358,410
200000,578198,327,354
250000,749048,314,391
300000,892764,413,460
350000,1023312,352,455
400000,1154859,412,352
450000,1280818,387,363
500000,1436775,305,432
550000,1548732,418,458
600000,1691403,380,457
650000,1830573,380,483
700000,1969257,353,605
750000,2106881,204,417
800000,2265070,364,425
850000,2435367,337,450
900000,2546524,372,388
950000,2665861,329,421
999999,2861689,272,360
0,92,359,48
50000,174638,396,425
100000,306018,337,342
150000,454706,426,428
200000,570717,406,390
250000,730793,306,401
300000,887259,379,415
350000,1004813,317,426
400000,1145259,382,381
450000,1288386,347,356
500000,1412965,311,422
